Location,Date collected,Month.code,Time collected (h),Quadrat identifier,Length mm,Growth bands,Shell erosion (mm),Notes
Folly Beach County Park (side B),9/16/2016,September,,9g,98.7,8,28.5,
Folly Beach County Park (side B),9/16/2016,September,,9g,60.3,3,,Underestimation of larger mussel age?
Folly Beach County Park (side B),9/16/2016,September,,9g,40,2,,
Folly Beach County Park (side B),9/16/2016,September,,9g,29,1,,
Folly Beach County Park (side B),9/16/2016,September,,9g,19.2,1,,
Folly Beach County Park (side B),9/16/2016,September,,9g,25.3,0,,
Folly Beach County Park (side B),9/16/2016,September,,9g,27.8,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,12,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,24.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,55,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,53,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,46.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,37.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,27.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,37.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,90.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,81.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,87.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,91.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,104,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,93.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,98.2,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,58.2,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,8.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,17.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,15.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,100.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,102.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,83.9,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,103.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,104,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,88.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,75.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,96.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,95.9,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,110.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,100.8,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,71.5,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,90.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,103.3,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,101.4,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,105.7,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,95.8,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,100.6,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,89.1,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,72.9,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,73.9,,,
Folly Beach County Park (side B),9/16/2016,September,,9g,94.1,,,
